Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
gold-reciproc,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/5309cce7c7d85_vdw-gmbh-silver-reciproc-kit.jpg?v=1484751858,2,,,,,,,,,,,,,,,,,,,,
x-smart,Эндодонтический мотор X-Smart,"<h2>Что это? </h2>
<p>Это <span>эндодонтический мотор, в комплекте  с которым входят наконечник и редукционная головка 16:1</span></p>
<h2><span>Характеристики: </span></h2>
<p><span>Режим работы: от аккумулятора или от сети</span></p>
<p><span>Время полной зарядки батареи: 5 часов</span></p>
<p><span>Время работы при полностью заряженной батарее: до 2-х часов</span></p>
<p><span>Для наконечника: с редукцией 16:1</span></p>
<p><span>Скорость вращения наконечника:120-800 оборотов в минуту</span></p>
<p><span>Рабочие программы: 9<br><br> </span></p>
<h2><span>Комплектация: </span></h2>
<p><span>Базовый блок</span></p>
<p><span>Мотор</span></p>
<p><span>Наконечник 16:1</span></p>
<p><span>Подставка</span></p>
<p><span>Зарядное устройство</span></p>
<p><span>Рекомендации по установке крутящего момента</span></p>
<p><span>Инструкция по эксплуатации</span></p>",Maillefer,Эндодонтические инструменты,"dentist, endodontichieskiie-instrumienty, maillefer",true,Title,Default Title,,,,,"",0,,1,deny,manual,51299.00,51999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/x_smart_endodonticheskiy_motor_v_komplekte_s_nakonechnikom_i_redukcionnoy_golovkoy_16_1_541-600x600.jpg?v=1484750635,1,,false,,,,,,,,,,,,,,,,,kg,
celebrity-dental-lab-hollywood-smile,Набор для отбеливания Celebrity Dental Lab  Hollywood Smile,"<h2>Что это?</h2>
<p>Это набор для домашнего отбеливания, который в включает в себя шприцы с отбеливающим гелем и силиконовые термокапы.</p>
<h2>Комплектация:</h2>
<p>Двойной шприц с отбеливающим гелем и активатором ( <span>6% Н202): 2 шт </span></p>
<p><span>Термокапа: 2 шт </span></p>
<p><span>Нагрудная салфетка: 1 шт </span></p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,2199.00,2399.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/144640682482.jpg?v=1484656225,1,,false,,,,,,,,,,,,,,,,,kg,
celebrity-dental-lab,Карандаш для отбеливания Celebrity Dental Lab,"<h2>Что это? </h2>
<p>Это карандаш с отбеливающим гелем для удобного очищения,осветления и укрепления эмали в домашних условиях.</p>
<p>Удаляет налет от красящих продуктов, таких как кофе и чай, отбеливает поверхность зуба</p>
<h2>Комплектация:</h2>
<p><span mce-data-marked=""1"">Карандаш с отбеливающим гелем: 4 мл</span></p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,899.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/celebrity_dental_lab_diamond___2.jpg?v=1484655689,1,,false,,,,,,,,,,,,,,,,,kg,
home-collection-plus,Набор для отбеливания Home Collection Plus,"<h2>Что это? </h2>
<p>Это набор для домашнего отбеливания, в который входит силиконовая капа и LED-лампа.</p>
<h2>Комплектация: </h2>
<p><span>Двойной шприц c отбеливающем гелем и активатором: 2</span></p>
<p><span>Мини-лампа: 1 шт</span></p>
<p><span>Капа: 1 шт </span></p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,2399.00,2699.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/420b38e0be64bc0f4e0a2dfca39278f4.jpg?v=1484655194,1,,false,,,,,,,,,,,,,,,,,kg,
pro-whitening-home-kit,Набор для отбеливания PRO Whitening Home Kit,"<h2>Что это? </h2>
<p>Это набор для домашнего отбеливания, с использованием кап.</p>
<p>Капы изготовляются индивидуально и в набор не входят. Вы можете изготовить капы <a href=""https://poterpite.ru/products/kapi"">у нас</a></p>
<p>Содержание <span>Н202 16%</span></p>
<h2>Комплектация: </h2>
<p>Двойной шприц c отбеливающем гелем и активатором: 2<br><br>Шприц с минеральным гелем: 1шт<br><br>Канюли </p>
<p>Контейнер для кап</p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,2799.00,2999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/329119385e0eb7d0b5772157f92559f3.png?v=1484654873,1,,false,,,,,,,,,,,,,,,,,kg,
superstrips,Полоски для отбеливания SuperStrips,"<h2>Что это? </h2>
<p>Это полоски с гелем для отбеливания в домашних условиях для чувствительных зубов </p>
<h2>Как это работает? </h2>
<p>Состав геля не травмирует эмаль, за счет отсутствия в нем пероксида.</p>
<p>Полоска пропитана отбеливающим веществом, каждая полоска плотно прилегает к поверхности зуба, что дает максимальный эффект. </p>
<p>Продолжительность нанесения 20-30 минут в день, курс составляет 2 недели </p>
<h2>Комплектация: </h2>
<p>14 пар с двумя полосками (для верхних и нижних зубов) </p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,1899.00,1999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/f2d6e983091de7d2b243de4b0d630130.png?v=1484653723,1,,false,,,,,,,,,,,,,,,,,kg,
advanced-16,Набор для клинического отбеливания зубов  Advanced 16%,"<h2>Что это? </h2>
<p>Это набор для профессионального <span>лампового</span> отбеливания для чувствительных зубов.</p>
<p>Данного набора хватает на 3<span> сеанса по 15 минут </span></p>
<h2>Комплектация: </h2>
<p>Ручка-аппликатор с отбеливающим гелем ( 16% Н202) - 1шт</p>
<p>Ретрактор - 1 шт</p>
<p>Нагрудная салфетка - 1 шт</p>
<p>Витамин Е - 3 шт</p>
<p> </p>",Amazing White,Профессиональное отбеливание зубов,"amazing-white, dentist, profiessionalnoie-otbielivaniie-zubov",true,Title,Default Title,,,,,"",0,,1,deny,manual,2399.00,2699.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/amazing_white_professional_24_klassicheskiy_nabor_dlya_lampovogo_otbelivaniya_274-600x600_1.jpg?v=1484646714,1,,false,,,,,,,,,,,,,,,,,kg,
professional-24,Набор для клинического отбеливания зубов Professional 24%,"<h2>Что это? </h2>
<p>Это классический набор для профессионального <span>лампового</span> отбеливания зубов в стоматологическом кабинете</p>
<p>Этого набора хватает на <span>9 сеансов по 15 минут - 3 процедуры</span></p>
<h2>Комплектация: </h2>
<p>Ручка-аппликатор с отбеливающим гелем (24% Н202) - 1шт</p>
<p>Ретрактор - 1 шт</p>
<p>Нагрудная салфетка - 1 шт</p>
<p>Витамин Е - 3 шт</p>
<p>Жидкий коффердам</p>
<p>Реминерализующий гель «Amazing White Minerals»</p>",Amazing White,Профессиональное отбеливание зубов,"amazing-white, dentist, profiessionalnoie-otbielivaniie-zubov",true,Title,Default Title,,,,,"",0,,1,deny,manual,2999.00,3399.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/amazing_white_professional_24_klassicheskiy_nabor_dlya_lampovogo_otbelivaniya_274-600x600.jpg?v=1484646300,1,,false,,,,,,,,,,,,,,,,,kg,
celebrity-extra-25,Набор для отбеливания зубов Celebrity EXTRA 25%,"<h2>Что это? </h2>
<p>Это набор для профессионального отбеливания зубов в стоматологическом кабинете, <span>на основе  25% раствора H2O2</span></p>
<p>Набор рассчитан для приема 4 пациентов </p>
<h2>Характеристики: </h2>
<p><span>Активация вещества происходит в сменной канюле, непосредственно в момент нанесения. Это значит, что вещество, оставшееся в шприце не активируется и его можно использовать в другой процедуре. Срок годности составляет 1 год.</span></p>
<p><span>Данный набор с химическим активатором может приментяться LED-лампой, что увеличивает эффект отбеливания</span></p>
<h2>Комплектация: </h2>
<p>Отбеливающий гель: 2 сдвоенных шприца</p>
<p>Жидкий коффердам Liquid Dam</p>
<p>Реминерализующий гель Amazing White Minerals</p>",Amazing White,Профессиональное отбеливание зубов,"amazing-white, dentist, profiessionalnoie-otbielivaniie-zubov",true,Title,Default Title,,,,,"",0,,1,deny,manual,4499.00,4799.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/Amazing-White.jpg?v=1484645728,1,,false,,,,,,,,,,,,,,,,,kg,
